ordinal	row_kind	path	byte_start	byte_end	attribute_kind	item_key	line_start	line_end	cohort	compile_domain	compile_domain_status	role	role_status	candidate_owner_ref	candidate_evidence_refs	owner_evidence_status	candidate_successor_status	successor_basis_or_blocker	review_state
23	dead_code_allowance	src/mir/builder.rs	17942	17961	outer_allow	module_lowering_invocation_access	338	338	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
24	dead_code_allowance	src/mir/builder.rs	18096	18115	outer_allow	module_lowering_invocation_candidate	342	342	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
25	dead_code_allowance	src/mir/builder.rs	18212	18231	outer_allow	module_lowering_invocation_candidate_p0	344	344	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
26	dead_code_allowance	src/mir/builder.rs	18320	18339	outer_allow	module_lowering_invocation_legacy_term	346	346	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
27	dead_code_allowance	src/mir/builder.rs	18445	18464	outer_allow	module_lowering_invocation_state	350	350	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
28	dead_code_allowance	src/mir/builder.rs	18549	18568	outer_allow	module_lowering_shell	352	352	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
29	dead_code_allowance	src/mir/builder.rs	18642	18661	outer_allow	module_wiring_parity_p0	354	354	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
30	dead_code_allowance	src/mir/builder.rs	18863	18882	outer_allow	raw_expansion_receipt_ledger	359	359	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
31	dead_code_allowance	src/mir/builder.rs	19354	19373	outer_allow	raw_loop_child_entry	369	369	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
32	dead_code_allowance	src/mir/builder.rs	19547	19566	outer_allow	raw_root_completion	372	372	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
33	dead_code_allowance	src/mir/builder.rs	19640	19659	outer_allow	raw_root_completion_preflight	374	374	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
34	dead_code_allowance	src/mir/builder.rs	19825	19844	outer_allow	root_batch_slot	378	378	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
35	dead_code_allowance	src/mir/builder.rs	20604	20623	outer_allow	root_body_completion	401	401	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
36	dead_code_allowance	src/mir/builder.rs	20786	20805	outer_allow	root_draft_batch	405	405	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
37	dead_code_allowance	src/mir/builder.rs	21086	21105	outer_allow	route_owned_invocation_inventory	411	411	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
38	dead_code_allowance	src/mir/builder.rs	30218	30237	outer_allow	phi_completion	616	616	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
39	dead_code_allowance	src/mir/builder.rs	30329	30348	outer_allow	phi_type_publication	619	619	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
40	dead_code_allowance	src/mir/builder.rs	30375	30394	outer_allow	port_aware_function_draft_impl	621	621	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
41	dead_code_allowance	src/mir/builder/builder_method_index.rs	3418	3437	outer_allow	<impl>::method_candidates_tail	95	95	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
42	dead_code_allowance	src/mir/builder/callable_declaration_catalog/catalog.rs	441	481	cfg_attr_allow	VerifiedSameModuleCallableDeclarationV1	13	13	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
43	dead_code_allowance	src/mir/builder/callable_declaration_catalog/catalog.rs	847	887	cfg_attr_allow	<impl>	24	24	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
44	dead_code_allowance	src/mir/builder/callable_declaration_catalog/catalog.rs	2016	2056	cfg_attr_allow	<impl>	65	65	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
45	dead_code_allowance	src/mir/builder/calls/extern_calls.rs	8920	8939	outer_allow	is_env_interface	284	284	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
46	dead_code_allowance	src/mir/builder/calls/function_session/terminal.rs	10162	10181	outer_allow	<impl>::abort_and_restore	238	238	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
47	dead_code_allowance	src/mir/builder/calls/function_session/terminal.rs	10864	10883	outer_allow	<impl>::abort_and_restore	256	256	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
48	dead_code_allowance	src/mir/builder/calls/guard.rs	8382	8401	outer_allow	<impl>::has_box_type	182	182	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
49	dead_code_allowance	src/mir/builder/calls/guard.rs	8688	8707	outer_allow	<impl>::get_box_type	190	190	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
50	dead_code_allowance	src/mir/builder/calls/guard.rs	9075	9094	outer_allow	<impl>::is_me_call	202	202	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
51	dead_code_allowance	src/mir/builder/calls/method_call_descent.rs	5741	5760	outer_allow	RawLegacyMethodCallInputV1	192	192	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
52	dead_code_allowance	src/mir/builder/calls/method_call_descent.rs	5955	5974	outer_allow	<impl>	200	200	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
53	dead_code_allowance	src/mir/builder/calls/static_resolution.rs	5486	5505	outer_allow	<impl>::try_tail_based_resolver_with_headers	143	143	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
54	dead_code_allowance	src/mir/builder/compilation_context.rs	8409	8428	outer_allow	<impl>	197	197	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
55	dead_code_allowance	src/mir/builder/compilation_context/declarations.rs	15	34	outer_allow	<impl>	3	3	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
56	dead_code_allowance	src/mir/builder/control_flow/edgecfg/api/compose/cleanup.rs	2365	2384	outer_allow	cleanup	49	49	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
57	dead_code_allowance	src/mir/builder/control_flow/facts/canon/cond_block_view.rs	302	321	outer_allow	CondBlockView::<field>	10	10	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
58	dead_code_allowance	src/mir/builder/control_flow/facts/escape_shape_recognizer.rs	975	994	outer_allow	EscapeSkipShapeInfo::<field>	24	24	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
59	dead_code_allowance	src/mir/builder/control_flow/facts/extractors/if_phi_join.rs	401	420	outer_allow	IfPhiJoinParts::<field>	12	12	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
60	dead_code_allowance	src/mir/builder/control_flow/plan/parts/associated_source/dispatch_tests.rs	9695	9714	outer_allow	_infallible_is_not_a_located_loop_input	347	347	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
61	dead_code_allowance	src/mir/builder/control_flow/recipes/loop_cond_break_continue.rs	3025	3044	outer_allow	LoopCondBreakContinueItem::ExitLeaf	90	90	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
62	dead_code_allowance	src/mir/builder/control_flow/verify/verifier/primitives.rs	2616	2635	outer_allow	debug_assert_value_join_invariants	82	82	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
63	dead_code_allowance	src/mir/builder/control_flow/verify/verifier/primitives.rs	3010	3029	outer_allow	debug_assert_value_join_invariants	93	93	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
64	dead_code_allowance	src/mir/builder/fact_session.rs	9316	9335	outer_allow	SealedFunctionFactSessionV1::<field>	274	274	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
65	dead_code_allowance	src/mir/builder/fact_session.rs	9722	9741	outer_allow	CompletedFunctionDraftWithFactsV1::<field>	285	285	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
66	dead_code_allowance	src/mir/builder/fact_session.rs	10275	10294	outer_allow	SealedModuleFactSessionV1::<field>	303	303	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
67	dead_code_allowance	src/mir/builder/fact_session.rs	11271	11290	outer_allow	p0_test_support::FactSessionP0HarnessErrorV1	327	327	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
68	dead_code_allowance	src/mir/builder/generic_loop_admission_observation.rs	275	295	inner_allow	<file>	6	6	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
69	dead_code_allowance	src/mir/builder/metadata/propagate.rs	2953	2972	outer_allow	propagate_with_override	96	96	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
70	dead_code_allowance	src/mir/builder/module_completion_candidate.rs	3021	3040	outer_allow	prepare_module_completion_candidate_v1	76	76	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
71	dead_code_allowance	src/mir/builder/module_draft_collector.rs	2049	2068	outer_allow	FunctionDraftKeyV1	51	51	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
72	dead_code_allowance	src/mir/builder/module_invocation_brand_p0.rs	3547	3566	outer_allow	_family_is_route_typed	97	97	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
73	dead_code_allowance	src/mir/builder/module_lowering_invocation.rs	11382	11401	outer_allow	<impl>::commit_resolved_pending	322	322	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
74	dead_code_allowance	src/mir/builder/module_lowering_invocation.rs	12393	12412	outer_allow	<impl>::capture_resolved_pending	348	348	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
75	dead_code_allowance	src/mir/builder/module_lowering_invocation.rs	13032	13051	outer_allow	<impl>::capture_legacy_pending	362	362	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
76	dead_code_allowance	src/mir/builder/module_lowering_invocation.rs	16334	16353	outer_allow	<impl>::with_access_port	441	441	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
77	dead_code_allowance	src/mir/builder/module_lowering_invocation_legacy_term.rs	650	669	outer_allow	<impl>::commit_legacy_pending	15	15	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
78	dead_code_allowance	src/mir/builder/origin/infer.rs	340	359	outer_allow	annotate_me_origin	7	7	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
79	dead_code_allowance	src/mir/builder/phi_merge.rs	4127	4146	outer_allow	<impl>::merge_with_dst	122	122	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
80	dead_code_allowance	src/mir/builder/resolved_lowering/mod.rs	645	664	outer_allow	common_v2_s6c_text_content_root_admission	17	17	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
81	dead_code_allowance	src/mir/builder/resolved_lowering/mod.rs	712	731	outer_allow	common_v2_s6c_text_cursor_preheader	19	19	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
82	dead_code_allowance	src/mir/builder/resolved_lowering/mod.rs	773	792	outer_allow	common_v2_s6c_textref_entry_bridge	21	21	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
83	dead_code_allowance	src/mir/builder/resolved_lowering/ownership/mod.rs	83	119	inner_allow	<file>	3	3	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
84	dead_code_allowance	src/mir/builder/return_type_strategy.rs	556	575	outer_allow	classify_return_type_strategy_miss	16	16	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
85	dead_code_allowance	src/mir/builder/rewrite/known.rs	4055	4074	outer_allow	try_known_rewrite	120	120	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
86	dead_code_allowance	src/mir/builder/rewrite/known.rs	11386	11405	outer_allow	try_unique_suffix_rewrite	353	353	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
87	dead_code_allowance	src/mir/builder/rewrite/known.rs	17828	17847	outer_allow	try_known_or_unique	560	560	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
88	dead_code_allowance	src/mir/builder/schedule/block.rs	275	294	outer_allow	<impl>	8	8	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
89	dead_code_allowance	src/mir/builder/ssa/local.rs	3129	3148	outer_allow	try_materialize_local_v1	116	116	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
90	dead_code_allowance	src/mir/builder/ssa/local/error.rs	554	573	outer_allow	LocalSsaFailurePolicyV1	23	23	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
91	dead_code_allowance	src/mir/builder/type_registry.rs	2293	2312	outer_allow	<impl>::record_param	71	71	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
92	dead_code_allowance	src/mir/builder/type_registry.rs	6412	6431	outer_allow	<impl>::get_origin	181	181	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
93	dead_code_allowance	src/mir/builder/type_registry.rs	8367	8386	outer_allow	<impl>::dump_trace	236	236	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
94	dead_code_allowance	src/mir/builder/type_registry.rs	8911	8930	outer_allow	<impl>::dump_stats	251	251	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
95	dead_code_allowance	src/mir/builder/type_registry.rs	9832	9851	outer_allow	<impl>::clear_origins	275	275	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
96	dead_code_allowance	src/mir/builder/type_registry.rs	10175	10194	outer_allow	<impl>::clear_all	286	286	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
97	dead_code_allowance	src/mir/builder/types/annotation.rs	223	242	outer_allow	set_type	8	8	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
98	dead_code_allowance	src/mir/builder/utils/pinning.rs	2537	2556	outer_allow	<impl>::insert_copy_after_phis	56	56	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
99	dead_code_allowance	src/mir/builder/vars/free_vars.rs	57	76	outer_allow	collect_free_vars	4	4	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
100	dead_code_allowance	src/mir/builder/vars/lexical_scope.rs	829	848	outer_allow	<impl>::new	21	21	C	production_default	file_observed		unreviewed			missing	unknown	mixed builder site needs explicit runtime/guard/test/compatibility/recovery owner review	blocked_mixed_role
101	dead_code_allowance	src/mir/compiler/mod.rs	2199	2218	outer_allow	raw_root_environment_manifest	81	81	B	production_default	file_observed		unreviewed			missing	unknown	runtime owner candidate exists but successor/retention evidence is not reviewed for this site	blocked_successor
102	dead_code_allowance	src/mir/compiler/mod.rs	2362	2381	outer_allow	raw_root_manifest_package	87	87	B	production_default	file_observed		unreviewed			missing	unknown	runtime owner candidate exists but successor/retention evidence is not reviewed for this site	blocked_successor
103	dead_code_allowance	src/mir/compiler/mod.rs	2432	2451	outer_allow	raw_root_plan0	89	89	B	production_default	file_observed		unreviewed			missing	unknown	runtime owner candidate exists but successor/retention evidence is not reviewed for this site	blocked_successor
104	dead_code_allowance	src/mir/compiler/mod.rs	2625	2644	outer_allow	raw_root_source_facts	97	97	B	production_default	file_observed		unreviewed			missing	unknown	runtime owner candidate exists but successor/retention evidence is not reviewed for this site	blocked_successor
105	dead_code_allowance	src/mir/compiler/module_registry.in.rs	180	199	outer_allow	a_prime_i64_physical_capability	6	6	A	generated_included	file_observed		unreviewed			missing	unknown	generated registry retention policy and successor owner are not named	blocked_successor
106	dead_code_allowance	src/mir/compiler/module_registry.in.rs	256	275	outer_allow	acyclic_callable_graph	8	8	A	generated_included	file_observed	callable_topology	candidate_evidence	docs/development/current/main/investigations/normal-callable-module0-a0-s0-execution-task-2026-07-26.md#range:18-19@979bf3af93	docs/development/current/main/investigations/normal-callable-module0-a0-s0-execution-task-2026-07-26.md#range:18-19@979bf3af93	candidate	unknown	named successor/retire condition is a candidate only; exact row policy remains unissued	candidate_evidence
107	dead_code_allowance	src/mir/compiler/module_registry.in.rs	323	342	outer_allow	acyclic_callable_module_plan	10	10	A	generated_included	file_observed	callable_topology	candidate_evidence	docs/development/current/main/investigations/normal-callable-module0-a0-s0-execution-task-2026-07-26.md#range:18-19@979bf3af93	docs/development/current/main/investigations/normal-callable-module0-a0-s0-execution-task-2026-07-26.md#range:18-19@979bf3af93	candidate	unknown	named successor/retire condition is a candidate only; exact row policy remains unissued	candidate_evidence
108	dead_code_allowance	src/mir/compiler/module_registry.in.rs	396	415	outer_allow	callable_graph_inventory	12	12	A	generated_included	file_observed	callable_topology	candidate_evidence	docs/development/current/main/investigations/normal-callable-module0-r0-s0-execution-task-2026-07-26.md#range:17-19@979bf3af93	docs/development/current/main/investigations/normal-callable-module0-r0-s0-execution-task-2026-07-26.md#range:17-19@979bf3af93	candidate	unknown	named successor/retire condition is a candidate only; exact row policy remains unissued	candidate_evidence
109	dead_code_allowance	src/mir/compiler/module_registry.in.rs	524	543	outer_allow	callable_scc_partition	16	16	A	generated_included	file_observed	callable_topology	candidate_evidence	docs/development/current/main/investigations/normal-callable-module0-r0-s0-execution-task-2026-07-26.md#range:17-19@979bf3af93	docs/development/current/main/investigations/normal-callable-module0-r0-s0-execution-task-2026-07-26.md#range:17-19@979bf3af93	candidate	unknown	named successor/retire condition is a candidate only; exact row policy remains unissued	candidate_evidence
110	dead_code_allowance	src/mir/compiler/module_registry.in.rs	591	610	outer_allow	callable_single_loop_operation_effect	18	18	A	generated_included	file_observed		unreviewed			missing	unknown	generated registry retention policy and successor owner are not named	blocked_successor
111	dead_code_allowance	src/mir/compiler/module_registry.in.rs	791	810	outer_allow	callable_single_loop_recipe	23	23	A	generated_included	file_observed		unreviewed			missing	unknown	generated registry retention policy and successor owner are not named	blocked_successor
